"File","Line","Text"
"lib\firebase_options_platform.web.dart","35","""?? Web Token 憭望?嚗?e"""
"lib\main.dart","31","'?予閮?'"
"lib\main.dart","41","""? [?撠移? ????啗??舫: ${message.notification?.title}"""
"lib\main.dart","106","'?? ??????暹?'"
"lib\main.dart","108","'????????仃??$e'"
"lib\main.dart","113","'?對? Web Debug 璅∪?嚗??Firebase App Check'"
"lib\main.dart","133","'?? Firebase App Check ???暹?'"
"lib\main.dart","135","'??Firebase App Check ???仃??$e'"
"lib\main.dart","188","""?湔?函???仃?? $e"""
"lib\main.dart","218","'???曉?'"
"lib\main.dart","301","""???曆??圈犖?"""
"lib\main.dart","318","""霈?仃??${snapshot.error}"""
"lib\main.dart","326","'蝜?銝剜?'"
"lib\main.dart","341","""? ?嗅?冽??Data ?批捆: $data"""
"lib\main.dart","349","""???湧??航炊嚗銝????characterId"""
"lib\main.dart","375","""?? 撠?餃嚗??FCM token ?脣?"""
"lib\main.dart","394","""??FCM token 撌脣摮?${defaultTargetPlatform.name}"""
"lib\main.dart","437","'???脣? FCM token 憭望?嚗?e'"
"lib\main.dart","454","""???冽????隤? $e"""
"lib\data\store_data.dart","19","'??蝳桀?'"
"lib\data\store_data.dart","20","'?蝳桀?'"
"lib\data\store_data.dart","21","'敹?蝳桀?'"
"lib\data\store_data.dart","22","'?望?蝳桀?'"
"lib\data\store_data.dart","23","'?亙楛蝳桀?'"
"lib\data\store_data.dart","24","'摰旨??, points: 1030, bonusTag: '"
"lib\data\store_data.dart","25","'靽∟陷蝳桀?'"
"lib\data\store_data.dart","26","'??雿旨??, points: 1650, bonusTag: '"
"lib\data\store_data.dart","27","'??蝳桀?'"
"lib\data\store_data.dart","28","'?輯姥蝳桀?'"
"lib\data\store_data.dart","29","'?訾撈蝳桀?'"
"lib\data\store_data.dart","30","'瘛望?蝳桀?'"
"lib\data\store_data.dart","31","'?瑚?蝳桀?'"
"lib\data\store_data.dart","32","'?臭?蝳桀?'"
"lib\data\store_data.dart","33","'?舀?蝳桀?'"
"lib\data\store_data.dart","34","'銝??銝?'"
"lib\data\store_data.dart","35","'隤?蝳桀?'"
"lib\data\store_data.dart","36","'瘞豢??鈭箏?'"
"lib\generated\app_localizations_ar.dart","12","'塈?堨媢堹塈堹塈堛'"
"lib\generated\app_localizations_ar.dart","15","'堛媞??堭 ??? 塈?堻?堜'"
"lib\generated\app_localizations_ar.dart","18","'??塈堶婺塈堛 ?塈?堛堭塈堶塈堛'"
"lib\generated\app_localizations_ar.dart","21","'堛媞??堭 塈??媞堜'"
"lib\generated\app_localizations_ar.dart","24","'堿??媢 塈?堧媯堹?塈堙'"
"lib\generated\app_localizations_ar.dart","27","'??堻 ?堹?? 堧? 堧媯堹?塈堙 堥媢堹.'"
"lib\generated\app_localizations_ar.dart","30","'奡堮媯?堜 媞?堭 ?媢堭??堜'"
"lib\generated\app_localizations_ar.dart","34","'堶堹堳 堮媟堧 堧堳?塈堙 堛堶??? ?塈埵?堜 塈?堧媯堹?塈堙: $error'"
"lib\generated\app_localizations_ar.dart","38","'?媟??'"
"lib\generated\app_localizations_ar.dart","41","'?堥?堿'"
"lib\generated\app_localizations_ar.dart","44","'??媢? 堥塈?堶???堜'"
"lib\generated\app_localizations_ar.dart","47","'?堣堸'"
"lib\generated\app_localizations_ar.dart","50","'堻?堹堜 奡塈堥堜 堳堭?堜'"
"lib\generated\app_localizations_ar.dart","53","'堻?堹 奡塈堥 堳堭?'"
"lib\generated\app_localizations_ar.dart","56","'媢塈埵?堜 堳堭?堜'"
"lib\generated\app_localizations_ar.dart","59","'?堮媟媟'"
"lib\generated\app_localizations_ar.dart","62","'?堛???'"
"lib\generated\app_localizations_ar.dart","65","'?堸媢?堭'"
"lib\generated\app_localizations_ar.dart","68","'?媯堭'"
"lib\generated\app_localizations_ar.dart","71","'媢?'"
"lib\generated\app_localizations_ar.dart","74","'媢?堜'"
"lib\generated\app_localizations_ar.dart","77","'堧堮堛 ?堥?堭堜'"
"lib\generated\app_localizations_ar.dart","80","'堧堮 媯媞?堭'"
"lib\generated\app_localizations_ar.dart","83","'?堻??'"
"lib\generated\app_localizations_ar.dart","86","'?堸??堜 塈?堿?塈?'"
"lib\generated\app_localizations_ar.dart","89","'堛?塈?媔'"
"lib\generated\app_localizations_ar.dart","92","'?媞塈堬?堜'"
"lib\generated\app_localizations_ar.dart","95","'?塈堭? 塈?媢?堭'"
